,ID,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
193,193,2015-01-09,02:00,Americana - Vila Santa Maria,SP01,MP10,28.0,ug/m3,automatica
194,194,2015-01-09,03:00,Americana - Vila Santa Maria,SP01,MP10,18.0,ug/m3,automatica
195,195,2015-01-09,04:00,Americana - Vila Santa Maria,SP01,MP10,22.0,ug/m3,automatica
196,196,2015-01-09,05:00,Americana - Vila Santa Maria,SP01,MP10,24.0,ug/m3,automatica
197,197,2015-01-09,06:00,Americana - Vila Santa Maria,SP01,MP10,37.0,ug/m3,automatica
198,198,2015-01-09,07:00,Americana - Vila Santa Maria,SP01,MP10,22.0,ug/m3,automatica
199,199,2015-01-09,08:00,Americana - Vila Santa Maria,SP01,MP10,38.0,ug/m3,automatica
200,200,2015-01-09,09:00,Americana - Vila Santa Maria,SP01,MP10,57.0,ug/m3,automatica
201,201,2015-01-09,10:00,Americana - Vila Santa Maria,SP01,MP10,51.0,ug/m3,automatica
202,202,2015-01-09,11:00,Americana - Vila Santa Maria,SP01,MP10,45.0,ug/m3,automatica
203,203,2015-01-09,12:00,Americana - Vila Santa Maria,SP01,MP10,36.0,ug/m3,automatica
204,204,2015-01-09,13:00,Americana - Vila Santa Maria,SP01,MP10,21.0,ug/m3,automatica
205,205,2015-01-09,14:00,Americana - Vila Santa Maria,SP01,MP10,14.0,ug/m3,automatica
206,206,2015-01-09,15:00,Americana - Vila Santa Maria,SP01,MP10,24.0,ug/m3,automatica
207,207,2015-01-09,16:00,Americana - Vila Santa Maria,SP01,MP10,39.0,ug/m3,automatica
208,208,2015-01-09,17:00,Americana - Vila Santa Maria,SP01,MP10,15.0,ug/m3,automatica
209,209,2015-01-09,18:00,Americana - Vila Santa Maria,SP01,MP10,15.0,ug/m3,automatica
210,210,2015-01-09,19:00,Americana - Vila Santa Maria,SP01,MP10,21.0,ug/m3,automatica
211,211,2015-01-09,20:00,Americana - Vila Santa Maria,SP01,MP10,20.0,ug/m3,automatica
212,212,2015-01-09,21:00,Americana - Vila Santa Maria,SP01,MP10,44.0,ug/m3,automatica
213,213,2015-01-09,22:00,Americana - Vila Santa Maria,SP01,MP10,39.0,ug/m3,automatica
214,214,2015-01-09,23:00,Americana - Vila Santa Maria,SP01,MP10,20.0,ug/m3,automatica
215,215,2015-01-09,23:55,Americana - Vila Santa Maria,SP01,MP10,1.0,ug/m3,automatica
216,216,2015-01-10,01:00,Americana - Vila Santa Maria,SP01,MP10,15.0,ug/m3,automatica
